Time_Stamp_flow,Final_Flow,Time_Stamp_depth,Final_Depth_in,Time_Stamp_vel,Final_Velocity
4/28/2010 0:00,0.265,4/28/2010 0:00,3.811,4/28/2010 0:00,1.669
4/28/2010 0:30,0.276,4/28/2010 0:30,3.786,4/28/2010 5:15,
4/28/2010 0:45,,4/28/2010 0:45,,4/28/2010 5:30,
4/28/2010 1:00,0.264,4/28/2010 1:00,3.735,4/28/2010 5:45,
4/28/2010 1:15,0.273,4/28/2010 1:15,,4/28/2010 6:00,1.638
4/28/2010 1:30,0.262,4/28/2010 1:30,,4/28/2010 6:15,1.688
4/28/2010 1:45,0.254,4/28/2010 1:45,,4/28/2010 6:30,1.883
4/28/2010 2:00,0.25,4/28/2010 2:00,,4/28/2010 6:45,1.9
4/28/2010 2:15,0.26,4/28/2010 2:15,3.709,4/28/2010 7:00,1.96
4/28/2010 2:30,0.257,4/28/2010 3:45,3.686,4/28/2010 7:15,2.016
4/28/2010 2:45,,4/28/2010 4:00,3.679,4/28/2010 7:30,
4/28/2010 3:00,,4/28/2010 4:15,3.69,4/28/2010 7:45,1.884
4/28/2010 3:15,,4/28/2010 4:30,3.642,4/28/2010 8:00,1.913
4/28/2010 3:30,,4/28/2010 4:45,3.749,4/28/2010 8:15,1.778
4/28/2010 3:45,,4/28/2010 5:00,,4/28/2010 8:30,1.839
4/28/2010 4:00,,4/28/2010 5:15,,4/28/2010 8:45,1.82
4/28/2010 4:15,,4/28/2010 5:30,,4/28/2010 9:00,1.739
4/28/2010 4:30,0.25,4/28/2010 5:45,,4/28/2010 9:15,1.876
4/28/2010 4:45,0.265,4/28/2010 6:00,,4/28/2010 9:30,
4/28/2010 5:00,0.247,4/28/2010 6:15,,4/28/2010 9:45,1.8337
4/28/2010 5:15,0.247,4/28/2010 6:30,,4/28/2010 10:00,1.8126
4/28/2010 5:30,0.264,4/28/2010 6:45,,4/28/2010 10:15,1.7914
4/28/2010 5:45,0.275,4/28/2010 7:00,4.837,4/28/2010 10:30,1.7703
4/28/2010 6:00,0.261,4/28/2010 7:15,4.58,4/28/2010 10:45,1.7491
4/28/2010 6:15,0.281,4/28/2010 7:30,4.558,4/28/2010 11:00,1.728
4/28/2010 6:30,0.333,4/28/2010 7:45,4.466,4/28/2010 11:15,1.742
4/28/2010 6:45,0.352,4/28/2010 8:00,4.286,4/28/2010 11:30,1.756
4/28/2010 7:00,0.433,4/28/2010 8:30,4.233,4/28/2010 11:45,1.77
